changes,data_point,fun,Linear,Log,Constant,min_log_mean,max_log_mean,prev_log_mean,data_i
4,4,new cost model + new data point,0.2,-4,-14.1436605441389,0.693147,2.995732,2.70805,3
4,5,prev cost model,0.2,-4,-14.1163501263892,0.693147,2.570013,2.80336,3
4,5,prev cost model,0.4,-7,-9.01950994083225,2.570013,2.840016,2.890372,2
4,5,prev cost model,0.2,-4,-14.1163501263892,2.840016,2.995732,2.80336,3
4,5,min prev cost,0,0,-22.0992792206052,0.693147,2.995732,2.995732,4
4,5,cost model,0.2,-4,-14.1436605441389,0.693147,2.995732,2.70805,3
4,5,new cost model,0,0,-22.0992792206052,0.693147,2.876556,2.995732,4
4,5,new cost model,0.2,-4,-14.1436605441389,2.876556,2.995732,2.70805,3
4,5,new cost model + new data point,0.166666666666667,-0.333333333333333,-18.416066017171,0.693147,2.876556,2.995732,4
4,5,new cost model + new data point,0.333333333333333,-3.66666666666667,-11.7863837867824,2.876556,2.995732,2.70805,3
