changes,data_point,fun,Linear,Log,Constant,min_log_mean,max_log_mean,prev_log_mean,data_i
0,0,new cost model + new data point,1,-3,0,0.693147,2.995732,0,-1
0,1,new cost model + new data point,1,-6,0,0.693147,2.995732,0,-1
0,2,new cost model + new data point,1,-10,0,0.693147,2.995732,0,-1
0,3,new cost model + new data point,1,-11.25,0,0.693147,2.995732,0,-1
0,4,new cost model + new data point,1,-13,0,0.693147,2.995732,0,-1
0,5,new cost model + new data point,1,-11.1666666666667,0,0.693147,2.995732,0,-1
1,1,prev cost model,1,-3,0,0.693147,2.995732,0,-1
1,1,new cost model = min prev cost,1,-3,0,0.693147,1.098612,Inf,0
1,1,new cost model = min prev cost,0,0,-0.295836866004329,1.098612,2.995732,1.098612,0
1,1,new cost model,1,-3,0,0.693147,1.098612,Inf,0
1,1,new cost model,0,0,-0.295836866004329,1.098612,2.995732,1.098612,0
1,1,new cost model + new data point,1,-6,0,0.693147,1.098612,Inf,0
1,1,new cost model + new data point,0.5,-4.5,-0.147918433002164,1.098612,2.995732,1.098612,0
1,2,prev cost model,1,-6,0,0.693147,2.995732,0,-1
1,2,min prev cost,1,-6,0,0.693147,1.791759,Inf,1
1,2,min prev cost,0,0,-4.75055681536833,1.791759,2.995732,1.791759,1
1,2,cost model,1,-6,0,0.693147,1.098612,Inf,0
1,2,cost model,0.5,-4.5,-0.147918433002164,1.098612,2.995732,1.098612,0
1,2,new cost model,1,-6,0,0.693147,1.098612,Inf,1
1,2,new cost model,0.5,-4.5,-0.147918433002164,1.098612,2.734997,1.098612,0
1,2,new cost model,0,0,-4.75055681536833,2.734997,2.995732,1.791759,1
1,2,new cost model + new data point,1,-10,0,0.693147,1.098612,Inf,1
1,2,new cost model + new data point,0.666666666666667,-9,-0.0986122886681096,1.098612,2.734997,1.098612,0
1,2,new cost model + new data point,0.333333333333333,-6,-3.16703787691222,2.734997,2.995732,1.791759,1
1,3,prev cost model,1,-10,0,0.693147,2.995732,0,-1
1,3,min prev cost,1,-10,0,0.693147,2.302585,Inf,2
1,3,min prev cost,0,0,-13.0258509299405,2.302585,2.995732,2.302585,2
1,3,cost model,1,-10,0,0.693147,1.098612,Inf,1
1,3,cost model,0.666666666666667,-9,-0.0986122886681096,1.098612,2.734997,1.098612,0
1,3,cost model,0.333333333333333,-6,-3.16703787691222,2.734997,2.995732,1.791759,1
1,3,new cost model,1,-10,0,0.693147,1.098612,Inf,2
1,3,new cost model,0.666666666666667,-9,-0.0986122886681096,1.098612,2.734997,1.098612,0
1,3,new cost model,0.333333333333333,-6,-3.16703787691222,2.734997,2.995732,1.791759,1
1,3,new cost model + new data point,1,-11.25,0,0.693147,1.098612,Inf,2
1,3,new cost model + new data point,0.75,-10.5,-0.0739592165010822,1.098612,2.734997,1.098612,0
1,3,new cost model + new data point,0.5,-8.25,-2.37527840768416,2.734997,2.995732,1.791759,1
1,4,prev cost model,1,-11.25,0,0.693147,2.995732,0,-1
1,4,min prev cost,1,-11.25,0,0.693147,2.420368,Inf,3
1,4,min prev cost,0,0,-15.9791414473173,2.420368,2.995732,2.420368,3
1,4,cost model,1,-11.25,0,0.693147,1.098612,Inf,2
1,4,cost model,0.75,-10.5,-0.0739592165010822,1.098612,2.734997,1.098612,0
1,4,cost model,0.5,-8.25,-2.37527840768416,2.734997,2.995732,1.791759,1
1,4,new cost model,1,-11.25,0,0.693147,1.098612,Inf,3
1,4,new cost model,0.75,-10.5,-0.0739592165010822,1.098612,2.734997,1.098612,0
1,4,new cost model,0.5,-8.25,-2.37527840768416,2.734997,2.995732,1.791759,1
1,4,new cost model + new data point,1,-13,0,0.693147,1.098612,Inf,3
1,4,new cost model + new data point,0.8,-12.4,-0.0591673732008658,1.098612,2.734997,1.098612,0
1,4,new cost model + new data point,0.6,-10.6,-1.90022272614733,2.734997,2.995732,1.791759,1
1,5,prev cost model,1,-13,0,0.693147,2.995732,0,-1
1,5,min prev cost,1,-13,0,0.693147,2.564949,Inf,4
1,5,min prev cost,0,0,-20.344341647,2.564949,2.995732,2.564949,4
1,5,cost model,1,-13,0,0.693147,1.098612,Inf,3
1,5,cost model,0.8,-12.4,-0.0591673732008658,1.098612,2.734997,1.098612,0
1,5,cost model,0.6,-10.6,-1.90022272614733,2.734997,2.995732,1.791759,1
1,5,new cost model,1,-13,0,0.693147,1.098612,Inf,4
1,5,new cost model,0.8,-12.4,-0.0591673732008658,1.098612,2.734997,1.098612,0
1,5,new cost model,0.6,-10.6,-1.90022272614733,2.734997,2.995732,1.791759,1
1,5,new cost model + new data point,1,-11.1666666666667,0,0.693147,1.098612,Inf,4
1,5,new cost model + new data point,0.833333333333333,-10.6666666666667,-0.0493061443340548,1.098612,2.734997,1.098612,0
1,5,new cost model + new data point,0.666666666666667,-9.16666666666667,-1.58351893845611,2.734997,2.995732,1.791759,1
2,2,prev cost model,1,-6,0,0.693147,1.098612,Inf,0
2,2,prev cost model,0.5,-4.5,-0.147918433002164,1.098612,2.995732,1.098612,0
2,2,new cost model = min prev cost,0,0,-5.53542903101515,0.693147,2.197225,2.197225,1
2,2,new cost model = min prev cost,0.5,-4.5,-0.147918433002164,2.197225,2.995732,Inf,1
2,2,new cost model,0,0,-5.53542903101515,0.693147,2.197225,2.197225,1
2,2,new cost model,0.5,-4.5,-0.147918433002164,2.197225,2.995732,Inf,1
2,2,new cost model + new data point,0.333333333333333,-6,-3.69028602067677,0.693147,2.197225,2.197225,1
2,2,new cost model + new data point,0.666666666666667,-9,-0.0986122886681096,2.197225,2.995732,Inf,1
2,3,prev cost model,1,-10,0,0.693147,1.098612,Inf,1
2,3,prev cost model,0.666666666666667,-9,-0.0986122886681096,1.098612,2.734997,1.098612,0
2,3,prev cost model,0.333333333333333,-6,-3.16703787691222,2.734997,2.995732,1.791759,1
2,3,min prev cost,0,0,-14.5228194576676,0.693147,2.60269,2.60269,2
2,3,min prev cost,0.666666666666667,-9,-0.0986122886681096,2.60269,2.657068,Inf,2
2,3,min prev cost,0,0,-14.5092684242892,2.657068,2.890372,2.890372,2
2,3,min prev cost,0.333333333333333,-6,-3.16703787691222,2.890372,2.995732,Inf,2
2,3,cost model,0.333333333333333,-6,-3.69028602067677,0.693147,2.197225,2.197225,1
2,3,cost model,0.666666666666667,-9,-0.0986122886681096,2.197225,2.995732,Inf,1
2,3,new cost model,0,0,-14.5228194576676,0.693147,2.60269,2.60269,2
2,3,new cost model,0.666666666666667,-9,-0.0986122886681096,2.60269,2.657068,Inf,2
2,3,new cost model,0,0,-14.5092684242892,2.657068,2.890372,2.890372,2
2,3,new cost model,0.333333333333333,-6,-3.16703787691222,2.890372,2.995732,Inf,2
2,3,new cost model + new data point,0.25,-3.75,-10.8921145932507,0.693147,2.60269,2.60269,2
2,3,new cost model + new data point,0.75,-10.5,-0.0739592165010822,2.60269,2.657068,Inf,2
2,3,new cost model + new data point,0.25,-3.75,-10.8819513182169,2.657068,2.890372,2.890372,2
2,3,new cost model + new data point,0.5,-8.25,-2.37527840768416,2.890372,2.995732,Inf,2
2,4,prev cost model,1,-11.25,0,0.693147,1.098612,Inf,2
2,4,prev cost model,0.75,-10.5,-0.0739592165010822,1.098612,2.734997,1.098612,0
2,4,prev cost model,0.5,-8.25,-2.37527840768416,2.734997,2.995732,1.791759,1
2,4,min prev cost,0,0,-17.2840611774613,0.693147,2.639057,2.639057,3
2,4,min prev cost,0.75,-10.5,-0.0739592165010822,2.639057,2.715,Inf,3
2,4,min prev cost,0,0,-17.2530015501631,2.715,2.80336,2.80336,3
2,4,min prev cost,0.5,-8.25,-2.37527840768416,2.80336,2.995732,Inf,3
2,4,cost model,0.25,-3.75,-10.8921145932507,0.693147,2.60269,2.60269,2
2,4,cost model,0.75,-10.5,-0.0739592165010822,2.60269,2.657068,Inf,2
2,4,cost model,0.25,-3.75,-10.8819513182169,2.657068,2.890372,2.890372,2
2,4,cost model,0.5,-8.25,-2.37527840768416,2.890372,2.995732,Inf,2
2,4,new cost model,0,0,-17.2840611774613,0.693147,2.639057,2.639057,3
2,4,new cost model,0.75,-10.5,-0.0739592165010822,2.639057,2.657068,Inf,3
2,4,new cost model,0.25,-3.75,-10.8819513182169,2.657068,2.890372,2.890372,2
2,4,new cost model,0.5,-8.25,-2.37527840768416,2.890372,2.995732,Inf,3
2,4,new cost model + new data point,0.2,-4,-13.827248941969,0.693147,2.639057,2.639057,3
2,4,new cost model + new data point,0.8,-12.4,-0.0591673732008658,2.639057,2.657068,Inf,3
2,4,new cost model + new data point,0.4,-7,-8.70556105457353,2.657068,2.890372,2.890372,2
2,4,new cost model + new data point,0.6,-10.6,-1.90022272614733,2.890372,2.995732,Inf,3
2,5,prev cost model,1,-13,0,0.693147,1.098612,Inf,3
2,5,prev cost model,0.8,-12.4,-0.0591673732008658,1.098612,2.734997,1.098612,0
2,5,prev cost model,0.6,-10.6,-1.90022272614733,2.734997,2.995732,1.791759,1
2,5,min prev cost,0,0,-21.7400267499179,0.693147,2.87168,2.87168,4
2,5,min prev cost,0.6,-10.6,-1.90022272614733,2.87168,2.995732,Inf,4
2,5,cost model,0.2,-4,-13.827248941969,0.693147,2.639057,2.639057,3
2,5,cost model,0.8,-12.4,-0.0591673732008658,2.639057,2.657068,Inf,3
2,5,cost model,0.4,-7,-8.70556105457353,2.657068,2.890372,2.890372,2
2,5,cost model,0.6,-10.6,-1.90022272614733,2.890372,2.995732,Inf,3
2,5,new cost model,0,0,-21.7400267499179,0.693147,2.845764,2.87168,4
2,5,new cost model,0.4,-7,-8.70556105457353,2.845764,2.890372,2.890372,2
2,5,new cost model,0.6,-10.6,-1.90022272614733,2.890372,2.995732,Inf,4
2,5,new cost model + new data point,0.166666666666667,-0.333333333333333,-18.1166889582649,0.693147,2.845764,2.87168,4
